ExcavatorID,Date,Notes,Project,GridNumber,PitNumb,GridCoord,Point1,Point2,Point3,BD1Ft,BD1In,BD2Ft,BD2In,BD3Ft,BD3In,BDOrient,N1,N2,N3,Norient,W1,W2,W3,Worient,FieldID
KEV,03/24/2004,"Much to my surprise, most of the water had gone down.  That Bruce & James, bless their souls for putting in a new pump.  Almost noon o’clock, lunchtime, then lab fun.",,,,,,,,,,,,,,,,,,,,,,,
KEV,03/27/2004,"Will be coming in on Friday’s from now on to work w/ Samantha.  Everyone agreed that she would be a good assistant.  Brought her to the pit and showed her stuff.  Afterwards, went to the lab to work on how we measure and whatnot.",,,,,,,,,,,,,,,,,,,,,,,
KEV,04/02/2004,"Sam brought a change of clothes with her and we glopped.  It was her first time!  How exciting!  Then we went to the lab and practiced excavating techniques of Pit 91.",,,,,,,,,,,,,,,,,,,,,,,
KEV,04/15/2004,"Happy tax day!  Wasn’t here last week, I was in Montana.  Came over to the Pit to glop, and Bruce and James were already here.  They are letting the pump down farther in the sump so the water level will go down.",,,,,,,,,,,,,,,,,,,,,,,
KEV,04/15/2004,"Glopped and then went to the lab.",,,,,,,,,,,,,,,,,,,,,,,
KEV,04/16/2004,"Samantha and I glopped and glopped.  Went into the lab afterwards.  In the afternoon “they” needed to do some filming for Volunteer Appreciation Day so we came back to the Pit.",,,,,,,,,,,,,,,,,,,,,,,
KEV,04/16/2004,"After “their” little film we decided to stay and do some more glopping in the grids.  Finished and went back to the lab.",,,,,,,,,,,,,,,,,,,,,,,
KEV,04/23/2004,"Pit looks good!",,,,,,,,,,,,,,,,,,,,,,,
KEV,04/23/2004,"Sam & I glopped.",,,,,,,,,,,,,,,,,,,,,,,
KEV,04/23/2004,"Hauled up asphalt buckets.",,,,,,,,,,,,,,,,,,,,,,,
KEV,04/23/2004,"Went to the lab.",,,,,,,,,,,,,,,,,,,,,,,
KEV,04/23/2004,"Yeah!  We did it all!",,,,,,,,,,,,,,,,,,,,,,,
KEV,04/30/2004,"Here about 8:30am and I’m exhausted.  Not much sleep last night.  Anyway, we glopped, Sam & I.  That Sam & I did a good job.  We were fast.  Done @ 10:30am!!  It’s hot!",,,,,,,,,,,,,,,,,,,,,,,
KEV,04/30/2004,"Summer is here!",,,,,,,,,,,,,,,,,,,,,,,
KEV,04/30/2004,"Off to the lab!",,,,,,,,,,,,,,,,,,,,,,,
KEV,05/07/2004,"Well, left early last Friday due to the fact that my daughter had conjunctivitis.  So, came in yesterday and worked in the lab.",,,,,,,,,,,,,,,,,,,,,,,
KEV,05/07/2004,"Here this morning at the Pit waiting for Samantha to do fun and exciting Pit Maintenance!",,,,,,,,,,,,,,,,,,,,,,,
KEV,05/07/2004,"Sam came on down and we glopped.  Either we’re getting more efficient or there’s less water, b/c we were done in no time.",,,,,,,,,,,,,,,,,,,,,,,
KEV,05/07/2004,"Off to the lab.",,,,,,,,,,,,,,,,,,,,,,,
KEV,05/14/2004,"It’s hot!  Had to turn on swamp cooler today.",,,,,,,,,,,,,,,,,,,,,,,
KEV,05/14/2004,"Anyway, Sam & I glopped.",,,,,,,,,,,,,,,,,,,,,,,
KEV,05/14/2004,"Not much water today but plenty of asphalt!",,,,,,,,,,,,,,,,,,,,,,,
KEV,05/14/2004,"We are finished and on our way to the lab!",,,,,,,,,,,,,,,,,,,,,,,
KEV,05/21/2004,"No Sam today.",,,,,,,,,,,,,,,,,,,,,,,
KEV,05/21/2004,"Glopped all by myself.",,,,,,,,,,,,,,,,,,,,,,,
KEV,05/21/2004,"Harry & Nora helped me with the asphalt buckets.",,,,,,,,,,,,,,,,,,,,,,,
KEV,05/21/2004,"Took ‘em on over to Pit 9.",,,,,,,,,,,,,,,,,,,,,,,
KEV,05/21/2004,"Finished up, now off to the lab.",,,,,,,,,,,,,,,,,,,,,,,
KEV,05/28/2004,"Memorial Day Weekend!",,,,,,,,,,,,,,,,,,,,,,,
KEV,05/28/2004,"Samantha came today.  We glopped. Rescued buckets from Pit 9.",,,,,,,,,,,,,,,,,,,,,,,
KEV,05/28/2004,"Off to the lab.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/04/2004,"No Samantha today.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/04/2004,"Off to glop.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/04/2004,"James is fixing the pump for the stream, it’s beeping.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/04/2004,"Finished glopping and went into the lab.  No Shelley – she’s on vacation.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/04/2004,"Just me and Jean in the lab.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/11/2004,"I’ve got a fabulous summer cold.  I’m going home early.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/11/2004,"Need to be well for next week when the Pit opens.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/11/2004,"Check the levels in the sump (H2O – 2 ½ feet, Asphalt – 3-4 inches) they’re not bad.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/16/2004,"Samantha’s not here today and no volunteers are scheduled this morning.  Tara is expected this afternoon.  The tank for the toilet arrived this morning.  Bruce is connecting it, or at least attempting to.  It appears that it was cut last year and well it’s not going to connect.  Bruce went and got some parts to make it all work.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/16/2004,"I glopped this morning.  Started setting up the gridlines, ran out of white twine.  Hmm… I will finish the grid lines when Tara is here since it is easier w/ 2 people.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/16/2004,"I’ll take out the trash in the meantime and make sure we have the supplies we’ll need this year.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/16/2004,"Bruce, Chris, Shelley, Amy & Nancy (the new intern) came over.  They dropped off lots of buckets and moved the swamp cooler to the West wall.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/16/2004,"Had to replace part of the hose for the swamp cooler.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/16/2004,"Tara showed up.  We’ll do the grid lines and whatnot after lunch.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/16/2004,"Back from lunch.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/16/2004,"Finished up the gridlines.  They’re so pretty and clean.  It’s about 2:30.  Tara and Amy are cleaning off the top of J-8.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/16/2004,"Bruce cleaned up all his stuff that he left over by the hose.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/16/2004,"Tara is now glopping H-8.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/17/2004,"Here at 8.  Went to make coffee and goddammit if I didn’t break the coffee pot!",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/17/2004,"Nancy here shortly after 8 ready yo glop.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/17/2004,"Jean here about 9 w/croissants!  Yeah!  Jean!",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/17/2004,"She helped glop.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/17/2004,"Denise here around 9:10.  Not much glopping left.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/17/2004,"We all took asphalt buckets to Pit 9 for a field trip.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/17/2004,"Nancy off to the viewing station.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/17/2004,"I have Jean & Denise working in H-8.  We are almost at 14’6”.  The floor is at 14’2½” right now.  Tara is here.  I’ll put her to work in J-8.  Shaw is supposed to be here to put the other plank in.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/17/2004,,RLP,1858A,91,J-8,,,,13,5.75,13,6.5,,,,0,1.5,,,24.5,27.25,,,Nice and dirty ident bone
KEV,06/17/2004,,RLP,1858A,91,J-8,,,,13,4.25,13,5,,,P to A,1,2.5,,,22.75,24,,,Vert epiph
KEV,06/17/2004,,RLP,1858A,91,J-8,,,,13,2.5,13,4,,,,2.5,3.25,,,21.25,22.25,,,Sesamoid
KEV,06/17/2004,,RLP,1858A,91,J-8,,,,,13.25,13,2,,,,3,4,,,19.5,20.5,,,tooth?
KEV,06/17/2004,,RLP,1858A,91,J-8,,,,13,3,13,3.5,,,,5,6.25,,,26.5,29,,,Gooey ident bone
KEV,06/17/2004,"Chris could not make it after lunch to put the other plank in.  Tomorrow morning.  We shall see.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/17/2004,"Time to clean up and go home.",,,,,,,,,,,,,,,,,,,,,,,
SVG,06/18/2004,"There was a little flooding in a few of the grids this morning.  Nora and Nancy came down just after 9:00am.  Nora is very clean!  Chris Shaw came to lay the second path.  Amy and I started digging in H-8.",,,,,,,,,,,,,,,,,,,,,,,
SVG,06/18/2004,,RLP,1938A,91,H-8,,,,14,2.5,14,2.75,,,,18.5,19,,,25,26,,,Aves humerus (prox end)
SVG,06/18/2004,,RLP,1938A,91,H-8,,,,14,,14,6,,,,18,24,,,24,30,,,Dermal Ossicles
SVG,06/18/2004,,RLP,1938A,91,H-8,,,,,2.5,14,3,,,,21,22,,,2.5,3.25,,,Rock
SVG,06/18/2004,,RLP,1938A,91,H-8,,,,,2.5,14,3,,,,26,27.5,,,2,3,,,Rock
SVG,06/18/2004,"I was out at 2:00 for Graduation game!",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/18/2004,"Samantha is here!",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/18/2004,"So is Nancy, we three started glopping.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/18/2004,"Chris showed up finally to put in the walkway.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/18/2004,"Nora & Tracy showed up @ 9:30.  Glopping is almost done.  But I found something for them.  Just so they could experience the Joy of Glopping.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/18/2004,"Forgot the dam in H-10 and lo and behold, flooded some grids!  Damn!",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/18/2004,"Samantha & Amy in H-8.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/18/2004,"I have Nora & Tracy in J-8.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/18/2004,"Okay, so I have 3 people that have never dug in the Pit before, one of them being my assistant.  It’s going well though.  We are still at 1858, not quite 14 feet.  Grid seems high.  Excluding the bones in the south which is only @ 13’2” the rest is 13’8”.  Still have a ways to go to 14’.  Sam seems to be doing fine in H-8.  There is no room for me to dig .  Oh well, it allows me to watch them, make sure they don’t mess up!  Ha!  Ha!",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/18/2004,,RLP,1858A,91,J-8,,,,13,8,13,8.25,,,,33,34,,,29,30,,,Bone frag
KEV,06/18/2004,,RLP,1858A,91,J-8,,,,13,5.5,13,7,,,,12.25,13.25,,,24.75,27,,,ident bone frag
KEV,06/18/2004,,RLP,1858A,91,J-8,,,,13,6,14,,,,,30,36,,,30,36,,,dermal ossicles
KEV,06/18/2004,"Amy and Tracy left @ 3pm.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/18/2004,"Sam left at 2pm for graduation.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/18/2004,"Just me and Nora and J-8.",,,,,,,,,,,,,,,,,,,,,,,
SVG,06/19/2004,"It’s chilly and wet today.  Anna and I worked in H-8.",,,,,,,,,,,,,,,,,,,,,,,
SVG,06/19/2004,,RLP,1938A,91,H-8,,,,14,2.5,14,2.75,,,,16.75,17.25,,,2.5,3.25,,,Rock
KEV,06/19/2004,"Yesterday, Tracy got a little eager and was really going to town on the Western side of J-8, whereas on the eastern side Nora was just the opposite – very timid.  Tracy didn’t make it down to floor though!",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/19/2004,"Today, Sam & Nancy here @ 8am.  Chris is supposed to be here today – we shall see.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/19/2004,"Today is also Nancy’s first day in the viewing station.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/19/2004,"Karen here @ 9:10.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/19/2004,"Tom here @ 9:15.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/19/2004,"Anna here @ 9:30.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/19/2004,"Anna and Nancy w/Sam in H-8.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/19/2004,"Tom & Karen w/me in J-8.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/19/2004,"Steel Pulse on the radio, and all’s well.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/19/2004,,RLP,1858A,91,J-8,,,,13,6,14,,,,,24,30,,,6,12,,,dermal ossicles
KEV,06/19/2004,,RLP,1858A,91,J-8,,,,13,8,13,8.75,,,,28.5,24.25,,,9.5,10.5,,,skull frag?
KEV,06/19/2004,,RLP,1858A,91,J-8,,,,13,8.5,13,8.75,,,P to A,23.25,24,,,14.5,16.25,,,vert posterior epiph
KEV,06/19/2004,,RLP,1858A,91,J-8,,,,13,6.75,13,8.5,,,,21,23,,,17.25,19,,,Prox end Smilodon tibia
KEV,06/19/2004,,RLP,1858A,91,J-8,,,,13,8.5,13,8.75,,,,24.25,25,,,10,11,,,Bone frag
KEV,06/19/2004,,RLP,1858A,91,J-8,,,,13,6,14,,,,,12,18,,,18,24,,,dermal ossicle
KEV,06/19/2004,,RLP,1858A,91,J-8,,,,13,8.75,13,9,,,,29.5,30.25,,,11.5,12.25,,,Bone frag
KEV,06/19/2004,,RLP,1858A,91,J-8,,,,13,6,14,,,,,24,30,,,0,6,,,dermal ossicle
KEV,06/19/2004,"Samantha leaving @ noon for graduation.  Karen gone @ noon also for a friend’s wedding.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/19/2004,,RLP,1858A,91,J-8,Px,Dt,Tub,13,2,13,4,13,2.5,,4,,3,,,.25,27.25,,Smilodon rib
KEV,06/19/2004,,RLP,1758A,91,J-8,Px,Dt,Tub,13,,,.5,13,4,,,.75,5,,34,32,33.25,,Smilodon rib
KEV,06/19/2004,,RLP,1758A,91,J-8,Px,Dt,PT,13,,,.25,13,3.75,,,.25,9,,,.25,31.5,,Smilodon metapodial
KEV,06/19/2004,,RLP,1858A,91,J-8,,,,13,6,14,,,,,0,6,,,30,36,,,dermal ossicles
KEV,06/19/2004,,RLP,1758A,91,J-8,Px,Dt,PT,13,,,.5,13,4.5,,11,,10.75,,25,26,25.25,,Smilodon metapodial
KEV,06/19/2004,,RLP,1758A,91,J-8,,,,13,3.25,13,4.75,,,R to C,.25,1.5,,,30.5,31.75,,,C. dirus molar
KEV,06/19/2004,,RLP,1758A,91,J-8,,,,13,3,13,6.25,,,,2.5,3,,,21.5,23.75,,,Bone ident frag
SVG,06/20/2004,"Henry, Susan, Renee and Maggie all came around 9:15-9:30.  Most missed glopping.  Another cool, wet morning.",,,,,,,,,,,,,,,,,,,,,,,
SVG,06/20/2004,"Ok not so cool anymore.",,,,,,,,,,,,,,,,,,,,,,,
SVG,06/20/2004,,RLP,1938A,91,H-8,Dt,LC,Px,14,,,.5,14,.5,,,.25,19.5,,,.5,20,,Small Mammal Femur
SVG,06/20/2004,"(LC = lateral condyle)",,,,,,,,,,,,,,,,,,,,,,,
SVG,06/20/2004,,RLP,1938A,91,H-8,,,,14,3.25,14,3.75,,,,16,18,,,21,22.25,,,Bone Frag (gooey)
SVG,06/20/2004,,RLP,1938A,91,H-8,,,,14,2.25,14,1,,,,30.5,30.75,,,8,8,,,cutest little toe
SVG,06/20/2004,,RLP,1938A,91,H-8,,,,14,2.25,14,3.25,,,,17,14.75,,,14,19,,,cobble
SVG,06/20/2004,,RLP,1938A,91,H-8,,,,14,,14,6,,,,24,18,,,12,30,,,dermal ossicles
KEV,06/20/2004,"Susan here @ 9am, followed by Renee.  The four of us (including Sam) all went to glop.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/20/2004,"Around 9:40 Maggie and Henry showed up.  Maggie did not have pants or shoes.  Scrounged around and found some things.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/20/2004,"Henry & Renee w/Sam in H-8",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/20/2004,"Susan & Maggie w/me in J-8",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/20/2004,"Sam’s family is in town, so she’s entertaining.  She’ll be back soon.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/20/2004,,RLP,1858A,91,J-8,,,,13,6,14,,,,,30,36,,,0,6,,,dermal ossicles
KEV,06/20/2004,,RLP,1758A,91,J-8,,,,13,4,13,6,,,,2,4,,,29.5,31,,,Prox end (radius) C. dirus
KEV,06/20/2004,,RLP,1858A,91,J-8,,,,13,5,13,7,,,,9,10.25,,,30.25,32.25,,,Bison phalanx (2nd)
KEV,06/20/2004,,RLP,1858A,91,J-8,,,,13,8.25,,9,,,A to P,24.75,26.25,,,8.5,9.75,,,vert. epiph
KEV,06/20/2004,,RLP,1858A,91,J-8,,,,13,9,13,9.5,,,,29,30,,,9,9.75,,,Wood
KEV,06/20/2004,,RLP,1858A,91,J-8,,,,13,8.5,13,8.75,,,,26,27,,,14.25,15,,,Bone frag
KEV,06/20/2004,,RLP,1858A,91,J-8,,,,13,8.75,13,9,,,,23.5,24.5,,,11.75,12,,,Bone frag
KEV,06/20/2004,,RLP,1858A,91,J-8,,,,13,8.25,13,8.5,,,,22.5,23.25,,,9.25,9.75,,,Bone frag
KEV,06/20/2004,,RLP,1858A,91,J-8,,,,13,8,13,8.25,,,,18.5,18.75,,,15.25,16.5,,,Rodent tooth
KEV,06/20/2004,,RLP,1858A,91,J-8,,,,13,8,13,9.25,,,,18.5,20.75,,,16.25,17.5,,,long bone frag
KEV,06/20/2004,,RLP,1858A,91,J-8,,,,13,6,,14,,,,18,24,,,6,12,,,dermal ossicles
KEV,06/20/2004,,RLP,1858A,91,J-8,,,,13,6,13,6.5,,,,8.5,9.75,,,32,33.5,,,Smilodon terminal phalanx
KEV,06/20/2004,,RLP,1858A,91,J-8,,,,13,8.5,13,10,,,,9.5,12,,,1.25,7.75,,,long ident bone (rib?)
KEV,06/20/2004,,RLP,1858A,91,J-8,,,,13,7,13,9,,,,34.75,36,,,.5,2,,,Smilodon phalanx
SVG,06/23/2004,"So Chris Shaw came down at about 10:00am today to see why we were having trouble with our BDs.  It turned out that H-8s measurements have been off by about 2½” to 3”.  Which means that last summer they must have finished at 14’6” the floor.  We are unsure of whether or not they did drawing and pictures so we are going to do that today.  We are currently at about 14’8” to 14’9”.  There is also a frag from a Smilodon lower jaw that has fallen out of I-8 we will be dealing with that some time soon.  Today is also a plaster day we plan to start removing the plaster in H-8 that is covering the second half of the sloth pelvis.  We will take that plastered area down to floor, if it is not already there, add it to the drawings and continue from there of course this all has to happen the day before media day woohoo!  One more thing I changed the buckets of matrix from 1938 to 2038 so that they will be accurate.",,,,,,,,,,,,,,,,,,,,,,,
SVG,06/23/2004,"pictures of floor taken with digital			4900",,,,,,,,,,,,,,,,,,,,,,,
SVG,06/23/2004,"RLP	2038 91 H-8",,,,,,,,,,,,,,,,,,,,,,,
SVG,06/23/2004,"BD 14ft 6 in",,,,,,,,,,,,,,,,,,,,,,,
SVG,06/23/2004,"Floor",,,,,,,,,,,,,,,,,,,,,,,
SVG,06/23/2004,"23 June 2004 SVG",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/23/2004,"A little late today, here @ 8:30.  Nancy Ortiz (Getty intern), Samantha & myself glopped.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/23/2004,"Volunteer Tracy Richardson here @ 9:40.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/23/2004,"Took asphalt buckets to Pit 9.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/23/2004,"Cleaned trash out of Pit 9.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/23/2004,"Tracy took trash to dumpster.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/23/2004,"Shelley, John Harries, & Chris Shaw brought “Judy” the dire wolf over for media day tomorrow.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/23/2004,"I “felt” that our BD poles were off.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/23/2004,"Asked Chris to check them out.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/23/2004,"They were off about 2 ½” inches.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/23/2004,"Spent some time correcting them.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/23/2004,"I will have to go back through my field notes from last week and add 2 ½” inches for J-8.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/23/2004,"Sam is just below floor in H-8.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/23/2004,"Chris said it was ok since it was pretty much a sterile grid.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/23/2004,"He said to stop and draw floor of H-8, take in progress photo, change buckets w/matrix to 2038 instead of 1938 and to start to hammer out plaster in NW part of H-8.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/23/2004,"J-8 is at floor now.  I will have to change buckets to 1958 instead of 1858.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/23/2004,"Okay, now that we have that figured out.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/23/2004,"Tracy in J-8.  No other volunteers.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/23/2004,"5",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/23/2004,,RLP,1968A,91,J-8,,,,14,,14,6,,,,24,30,,,6,12,,,dermal ossicles
KEV,06/23/2004,"Tara Thara is here @ 12:30pm.  It’s getting hot.  Turned on swamp cooler.  Sam is drawing her floor.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/23/2004,"I have both Tracy and Tara in J-8.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/23/2004,"5",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/23/2004,,RLP,1968A,91,J-8,,,,13,8,13,9,,,,4.5,8,,,28.5,30.5,,,ident bone frag (skull?)
KEV,06/23/2004,"5",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/23/2004,,RLP,1968A,91,J-8,,,,13,8,13,8.5,,,,6,7,,,24,25.5,,,C. dirus phalanx
KEV,06/23/2004,"Amy McGuire is here @ 1:30.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/23/2004,"Put her in J-8 also,",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/23/2004,"Until Sam is finished in H-8.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/23/2004,,RLP,1858A,91,J-8,,,,13,9,13,9.5,,,,5.5,6,,,28.5,29,,,C. dirus tooth
KEV,06/23/2004,"6           K",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/23/2004,,RLP,1858A,91,J-8,,,,14,1.5,14,2.25,,,,.5,1.5,,,6.5,7,,,Bone frag
KEV,06/23/2004,"The south wall of K-8 appears to have slumped a bit causing some of the measurements to be in K-8, as in the above specimen.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/23/2004,,RLP,1958A,91,J-8,,,,14,1.25,14,2,,,,25.75,26,,,24.75,25,,,Bone frag
KEV,06/23/2004,,RLP,1958A,91,J-8,,,,14,3,14,3.5,,,,31.5,33,,,9.5,10.5,,,Bone frag
KEV,06/23/2004,,RLP,1858A,91,J-8,,,,13,7,14,,,,,1.5,8.25,,,25,31,,,Bone Mass
KEV,06/23/2004,"Probably should have measured out the bones separately in this above mass.  It seemed pretty fragile.  Distal end of the humerus femur pointed NE.  Prox end still in ground.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/23/2004,,RLP,1858A,91,J-8,,,,13,8.5,13,11,,,,4,7,,,25,27.5,,,Weird globular bone
KEV,06/23/2004,,RLP,1858A,91,J-8,,,,13,8.5,13,10,,,,6.5,8.5,,,25,27.5,,,Bone frag
KEV,06/23/2004,,RLP,1858A,91,J-8,,,,13,9,13,11,,,,3,4.75,,,24.5,27,,,Ident bone frag
KEV,06/23/2004,,RLP,1858A,91,J-8,,,,13,9,13,11,,,,6,7.5,,,25.5,26.5,,,Ident bone frag
KEV,06/23/2004,"I suspect that some of these ident bone frags are part of the disturbed stuff that was described by Toni in 1994 when grids 1758 and 1858 were done.  She described the disturbed in the West.  These bones are in the SW.",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/23/2004,,RLP,1958A,91,J-8,,,,13,6.5,13,7.75,,,,3,4.5,,,18,20,,,ident bone frag
KEV,06/23/2004,"9",,,,,,,,,,,,,,,,,,,,,,,
KEV,06/23/2004,,RLP,1858A,91,J-8,,,,14,1.5,14,2.5,,,,30,31.25,,,11.5,13.25,,,flat bone frag (turtle shell?)
KEV,06/23/2004,,RLP,1958A,91,J-8,,,,14,2.25,14,3,,,,24,25,,,9,10.25,,,cobble
KEV,06/23/2004,,RLP,1958A,91,J-8,,,,14,1,14,2.5,,,,19.25,20,,,10,10.75,,,Smilodon phalanx
SVG,06/24/2004,"Today is Media day!",,,,,,,,,,,,,,,,,,,,,,,
SVG,06/24/2004,"Gene Moore and I are in H-8 doing everything we can without breaking more plaster.  We are trying to get better drainage going.",,,,,,,,,,,,,,,,,,,,,,,
SVG,06/24/2004,,RLB,2038A,91,H-8,,,,14,7.25,14,7.25,,,,11.5,12,,,35,35.75,,,Bone Frag
SVG,06/24/2004,"[N and W reversed on original]",,,,,,,,,,,,,,,,,,,,,,,
SVG,06/24/2004,,RLB,2038A,91,H-8,,,,14,5.5,14,5.5,,,,6,6.5,,,18.5,18.75,,,Bone Frag
SVG,06/24/2004,"[N and W reversed on original]",,,,,,,,,,,,,,,,,,,,,,,
